video_id,video_title,channel_title,channel_id,thumbnail_url,view_cnt,body_part
0cqFm7zfLgE,"코치와 함께 등 운동하는 날",고독한갯츠비,UCLfc87S_edQ59xTzJqqY13A,https://i.ytimg.com/vi/0cqFm7zfLgE/default.jpg,0,등
0FFbj_YOTnQ,"[흑자 운동 3] 체형별 특징 2편 - 가슴 모양",흑자헬스PlusHealth,UCygs-_iDpCJOnhuCZibK7JQ,https://i.ytimg.com/vi/0FFbj_YOTnQ/default.jpg,0,가슴
0g6-jSaniRs,"일반인이 ‘윗가슴’ 근육을 만드는 흑인형의 최고 꿀팁!? (시몬판다, 가슴운동 루틴)","헬스 정보를 공유하는 남자(헬공남)",UCC5ecJq9UL-w8ggYH3vlfQw,https://i.ytimg.com/vi/0g6-jSaniRs/default.jpg,0,가슴
0gup7sWE4n4,"&quot;차이나는 운동 클래스&quot; 올림피아 프로 허주시엔의 디테일한 등 운동 [OT받으러왔슴다]","MONSTERZYM 몬스터짐",UCEyXB3mjiTlZXJn_j1aKM7A,https://i.ytimg.com/vi/0gup7sWE4n4/default.jpg,0,등
0GwwUTYAOTg,"하루10분 투자로 하체와 힙업을 한번에 (칼로리소모 끝판왕) 하체운동루틴 [오늘의루틴]",키다리형,UChWJavW1PbvAkPTcB06EeIg,https://i.ytimg.com/vi/0GwwUTYAOTg/default.jpg,0,하체
0ilRRxPmgyc,"홈트레이닝~전신운동9분~문쌤과함께 운동하기~다이어트~문쌤","문미란 GX",UCoMQTVRDWf-t5c4XSY0SBUQ,https://i.ytimg.com/vi/0ilRRxPmgyc/default.jpg,0,전신
0iqP6WP2ET4,"뱃살빼기! 효과보장!! 15MIN STANDING ABS WORKOUT - No Talking , No Equipment",MIZI,UCQ2vUGzZrLpUBqsmsL_5EIQ,https://i.ytimg.com/vi/0iqP6WP2ET4/default.jpg,0,복부
0jnvZ1gQFzM,"[효니TV] 운동기구 사용법! 여자가 알면 손해볼일 없는 가슴운동! 체스트 플라이 / 체스트 프레스",효니TV,UCSbcKmsHu4oTT5fu8zvs00w,https://i.ytimg.com/vi/0jnvZ1gQFzM/default.jpg,0,가슴
0Jv7Dq2If1A,"과학으로 입증된 모든 ‘하체근육’ 한번에 키우는 가장 효과적인 운동 방법! (덤벨 하체 운동 루틴)","오늘의 머슬한입",UCt1IY1PhDixsM_DE8-ffrSw,https://i.ytimg.com/vi/0Jv7Dq2If1A/default.jpg,0,하체
0L5gAT1fJaM,"뱃살 아랫뱃살 최고의 운동","Thankyou BUBU",UCpg89Ys3E4BaLGgEEWVmI9g,https://i.ytimg.com/vi/0L5gAT1fJaM/default.jpg,0,복부
0Ly-BF_c2_0,"Be My Lover#근력운동#상체근력#웨스트#팔운동#복근운동#Ag댄스#일산주부댄스#칼로리폭파댄스#뱃살빼는운동#홈트레이닝",AG댄스스튜디오,UC6KdIFhuUph0NCjt44t_jSw,https://i.ytimg.com/vi/0Ly-BF_c2_0/default.jpg,0,복부
0MNZuQtXpBA,"(요가은) 전신 스트레칭 / 전신운동, 차분한요가, 데일리스트레칭",요가은YoGaEun,UCzfoIbslSwEjlFdFRvh3RLg,https://i.ytimg.com/vi/0MNZuQtXpBA/default.jpg,0,전신
0nUjMT7oZeo,"어깨 운동 자극을 찾기 어렵다면?",김성환헬스유튜브,UCcMSJmR90Y_McofszAVxjAQ,https://i.ytimg.com/vi/0nUjMT7oZeo/default.jpg,0,어깨
0Nuza8wrYPA,"복근운동을 정말 싫어했던 내가 선명한 복근 만들 수 있었던 방법",만재ManJaeTv,UC6HC9jI3iukjMhHg00UJDPw,https://i.ytimg.com/vi/0Nuza8wrYPA/default.jpg,0,복부
0P6cAkpRiIU,"초중급자가 &#39;하체 근육&#39; 키우지 못하는 대표적인 실수 3가지는!? (논문 근거, 크리스 범스테드, 닉 워커, 하체 운동 방법)","오늘의 머슬한입",UCt1IY1PhDixsM_DE8-ffrSw,https://i.ytimg.com/vi/0P6cAkpRiIU/default.jpg,0,하체
0PW9zehkVc8,"[1분 미리보기] 설현 &quot;가슴 운동은 왜하는지 모르겠어요&quot;_니가 알던 내가 아냐 EP.1",M2,UCTQVIXvcHrR9jYoJ6qaBAow,https://i.ytimg.com/vi/0PW9zehkVc8/default.jpg,0,가슴
0s9W3-CD0cE,"다리가 길어보이는 힙딥 없는 힙업 운동 - 하체운동 25분","빅씨스 Bigsis",UCfDkQiPchwM0F2SkHWl5JYQ,https://i.ytimg.com/vi/0s9W3-CD0cE/default.jpg,0,하체
0Xbjh7kKagA,"팔 뒤로 올리기 완전정복. 오십견전문가 권도수 셀프 어깨 재활운동 / Frozen shoulder - Hand to scapular backward",권도수,UC2kre6C4AHnLxiHhRlMKx6g,https://i.ytimg.com/vi/0Xbjh7kKagA/default.jpg,0,어깨
0YICpROz3NE,"&quot;회원님 이렇게 하면 안돼요&quot; &quot;되는데요?&quot; 김성환의 뻠핑 오는 어깨운동 [ EP 08 - 2 ]","MONSTERZYM 몬스터짐",UCEyXB3mjiTlZXJn_j1aKM7A,https://i.ytimg.com/vi/0YICpROz3NE/default.jpg,0,어깨
0YukDHKT8Uo,"프로선수의 &#39;하체&#39; 훈련 일지","김강민_Kim Kang min",UCjGoJbTmFYjd5OnPRUur02A,https://i.ytimg.com/vi/0YukDHKT8Uo/default.jpg,0,하체
0zaMWkoM3uA,"[하체운동] 하루 5분재미어트 하체운동 프로그램",재미어트,UCrFFbADYO1jrXxefP9MivWA,https://i.ytimg.com/vi/0zaMWkoM3uA/default.jpg,0,하체
0ZTThZCvYy4,"김강민 형님의 비법 / 속마음",훈튜브,UCk-T0sVHO9CZavbei_eWWjw,https://i.ytimg.com/vi/0ZTThZCvYy4/default.jpg,0,어깨
1-SLsDSCIKw,"가슴 운동 근데 이제 드롭 세트를 곁들인",김성환헬스유튜브,UCcMSJmR90Y_McofszAVxjAQ,https://i.ytimg.com/vi/1-SLsDSCIKw/default.jpg,0,가슴
